sampleTime,x,y,th,th1,th2,th3,th4,th5,th1m,th2m,th3m,th4m,th5m
1,-0.62,-0.01,0,0,0,0,0,0,0,0,0,0,0
2,0,0,-0.01,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.73,1.57
3,-0.01,-0.01,-0.03,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.73,1.57
4,-0.01,-0.01,-0.04,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.73,1.57
5,-0.02,-0.02,-0.04,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.73,1.57
6,-0.03,-0.02,-0.04,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.73,1.57
7,-0.03,-0.03,-0.05,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.73,1.57
8,-0.04,-0.03,-0.05,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.73,1.57
9,-0.05,-0.04,-0.05,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.73,1.57
10,-0.06,-0.04,-0.06,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.73,1.57
11,-0.07,-0.05,-0.05,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.73,1.57
12,-0.08,-0.06,-0.05,-1.57,-1.51,-6.28,0.73,1.57,-1.57,-1.51,-6.28,0.72,1.57
13,-0.1,-0.06,-0.05,-1.57,-1.51,-6.28,0.72,1.57,-1.57,-1.51,-6.28,0.72,1.57
14,-0.11,-0.07,-0.05,-1.57,-1.51,-6.28,0.72,1.57,-1.57,-1.51,-6.28,0.72,1.57
15,-0.12,-0.07,-0.05,-1.57,-1.51,-6.28,0.72,1.57,-1.57,-1.51,-6.28,0.72,1.57
16,-0.13,-0.08,-0.05,-1.57,-1.51,-6.28,0.72,1.57,-1.57,-1.51,-6.28,0.72,1.57
17,-0.14,-0.09,-0.05,-1.57,-1.51,-6.28,0.72,1.57,-1.57,-1.51,-6.28,0.72,1.57
18,-0.15,-0.09,-0.05,-1.57,-1.51,-6.28,0.72,1.57,-1.57,-1.51,-6.28,0.72,1.57
19,-0.16,-0.1,-0.05,-1.57,-1.51,-6.28,0.72,1.57,-1.57,-1.51,-6.28,0.72,1.57
20,-0.17,-0.1,-0.05,-1.57,-1.51,-6.28,0.72,1.57,-1.57,-1.51,-6.28,0.72,1.57
21,-0.18,-0.11,-0.05,-1.57,-1.5,-6.28,0.72,1.57,-1.57,-1.5,-6.28,0.72,1.57
22,-0.19,-0.12,-0.05,-1.57,-1.5,-6.28,0.72,1.57,-1.57,-1.5,-6.28,0.72,1.57
23,-0.2,-0.12,-0.05,-1.57,-1.5,-6.28,0.72,1.57,-1.57,-1.5,-6.28,0.72,1.57
24,-0.21,-0.13,-0.05,-1.57,-1.5,-6.28,0.72,1.57,-1.57,-1.5,-6.28,0.72,1.57
